"Uke";"Dag";"Måltid";"Kategori";"Rett"
"3";"Lørdag";"Middag";"Kjott";"Rosmarinstekt indrefilet av okse med rødvinsaus fløtegratinerte potet"
"3";"Lørdag";"Middag";"Suppe";"Toscansk bondesuppe"
"3";"Søndag";"Lunch";"Fisk";"Kremet pasta med røkelaks, reker og spinat"
"3";"Søndag";"Lunch";"Kjott";"Burger Søndag"
"3";"Søndag";"Lunch";"Suppe";"Spicy Tomatsuppe"
"3";"Søndag";"Middag";"Fisk";"Lange/tilgjengelig fersk fisk med  pepperonata"
"3";"Søndag";"Middag";"Kjott";"Svineribbe med surkål, epler og svisker"
"3";"Søndag";"Middag";"Suppe";"Fransk kyllingsuppe"
"4";"Mandag";"Lunch";"Fisk";"Fiskekake med grønnkålslaw med eple"
"4";"Mandag";"Lunch";"Kjott";"Chili con carne"
"4";"Mandag";"Lunch";"Suppe";"Meksikansk suppe"
"4";"Mandag";"Middag";"Fisk";"Sei toppet med gulrotkrem og smør stekte erter/løk"
"4";"Mandag";"Middag";"Kjott";"Boeuf bourguinon med potet og hvitløk stappe"
"4";"Mandag";"Middag";"Suppe";"Meksikansk suppe"
"4";"Tirsdag";"Lunch";"Fisk";"Sandwich Skagenrøre/sjømat"
"4";"Tirsdag";"Lunch";"Kjott";"Sandwich assortert kjøtt/kyllingsalat"
"4";"Tirsdag";"Lunch";"Suppe";"Tomatsuppe, Fiskesuppe, Kjøttsuppe"
"4";"Tirsdag";"Middag";"Fisk";"Fish`n Chips med erter og remulade"
"4";"Tirsdag";"Middag";"Kjott";"Gresk Gyros med tzatziki, pita, fries og hotsauce"
"4";"Tirsdag";"Middag";"Suppe";"Tomatsuppe med egg"
"4";"Onsdag";"Lunch";"Fisk";"Sei Cordon Bleu med syrlig råkost og tartarsaus"
"4";"Onsdag";"Lunch";"Kjott";"Pasta med ragu"
"4";"Onsdag";"Lunch";"Suppe";"Blomkålsuppe"
"4";"Onsdag";"Middag";"Fisk";"Dampet torsk med glaserte grønnsaker grønsaker og lys saus"
"4";"Onsdag";"Middag";"Kjott";"Kalkun med  rosenkål, waldorf salat og fløtesaus"
"4";"Onsdag";"Middag";"Suppe";"Blomkålsuppe"
"4";"Torsdag";"Lunch";"Fisk";"Fiskeboller med hvitsaus og råkostsalat"
"4";"Torsdag";"Lunch";"Kjott";"Kyllinglår med ris og hotsauce"
"4";"Torsdag";"Lunch";"Suppe";"Gul ertersuppe"
"4";"Torsdag";"Middag";"Fisk";"Ovnsbakt hyse med baktegrønnsaker  og sennepsaus"
"4";"Torsdag";"Middag";"Kjott";"Komle med tlbehør"
"4";"Torsdag";"Middag";"Suppe";"Gul ertersuppe"
"4";"Fredag";"Lunch";"Fisk";"Fish N chips"
"4";"Fredag";"Lunch";"Kjott";"Karbonader m løk og speil egg"
"4";"Fredag";"Lunch";"Suppe";"Søtpotetsuppe med lime"
"4";"Fredag";"Middag";"Fisk";"Eggnudler med scampi og wokgrønsker"
"4";"Fredag";"Middag";"Kjott";"Kebab kylling/okse  buffet tillbehør"
"4";"Fredag";"Middag";"Suppe";"Søtpotetsuppe med lime"
"4";"Lørdag";"Lunch";"Fisk";"Spekesild & kryddersild, rømme, rødbeter, løk og kokte poteter"
"4";"Lørdag";"Lunch";"Kjott";"Lapskaus og komemiks"
"4";"Lørdag";"Lunch";"Suppe";"Skalldyr suppe"
"4";"Lørdag";"Middag";"Fisk";"Moullefritt/ calamari og scampi fritt dip"
"4";"Lørdag";"Middag";"Kjott";"Ytrefilet okse med sesongens grønnsaker og bakepotet"
"4";"Lørdag";"Middag";"Suppe";"Skalldyr suppe"
"4";"Søndag";"Lunch";"Fisk";"Pizza med reker og rucculapesto"
"4";"Søndag";"Lunch";"Kjott";"Pizza med pepperoni, kylling og storfe"
"4";"Søndag";"Lunch";"Suppe";"Mais og kokkossuppe"
"4";"Søndag";"Middag";"Fisk";"Sesamtoppet hyse  med grønsakswok og ris"
"4";"Søndag";"Middag";"Kjott";"Indrefilet av svin med stekt bokkoli, sopp og peppersaus"
"4";"Søndag";"Middag";"Suppe";"Mais og kokkossuppe"
